ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
9,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,GET,http://127.0.0.1:4000/graphql/query/1684762493378762033,404,Not Found,19,185,6700
11,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,12,613,168
12,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,94
13,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,168
14,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,97
15,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,169
16,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,612,94
17,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:07 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,613,169
18,Mon Nov 24 21:53:07 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,612,94
19,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,168
20,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,168
21,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,170
22,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,170
23,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,169
24,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,169
25,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,205
26,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,174
27,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,613,169
28,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,613,169
29,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
30,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,96
31,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,113
32,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,99
33,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
34,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,612,96
35,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
36,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,612,96
37,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,13,613,113
38,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
39,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
40,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
41,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
42,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
43,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,372
44,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,341
45,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,11,613,120
46,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
47,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,113
48,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,96
49,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
50,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,612,99
51,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,120
52,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,96
53,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,7,613,120
54,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,96
55,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
56,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,113
57,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
58,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
59,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,11,613,120
60,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
61,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,10,613,364
62,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,333
63,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
64,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,120
65,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,171
66,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,171
67,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,12,613,171
68,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,17,613,171
69,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,12,613,171
70,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,9,613,170
71,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,170
72,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,170
73,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,170
74,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,170
75,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
76,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
77,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
78,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
79,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,613,113
80,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,96
81,Mon Nov 24 21:53:08 CET 2025,Mon Nov 24 21:53:08 CET 2025,POST,http://127.0.0.1:4000/graphql,200,OK,8,612,96
